index,precision,recall,f1-score,support
B cells,0.205607476635514,0.49070631970260226,0.2897914379802415,269.0
CD4+ T cells,0.4549143372407574,0.9447565543071161,0.6141205112598904,3204.0
CD8+ T cells,0.0,0.0,0.0,2005.0
Cancer cells,0.9952458634350967,0.5356193247378719,0.6964335219582198,39866.0
DCs,0.0,0.0,0.0,0.0
Endothelial,0.9302949061662198,0.06298783808313668,0.11798707922475349,5509.0
Fibroblasts,0.45555193747964834,0.7998856489422527,0.5804979253112034,1749.0
Granulocytes,0.0779783393501805,0.8709677419354839,0.14314115308151093,124.0
Macrophages,0.8603823921742997,0.5011655011655012,0.6333878887070377,3861.0
Mast cells,1.0,0.5625,0.72,32.0
NK cells,0.9494949494949495,0.4034334763948498,0.5662650602409639,233.0
NKT cells,0.0563180312352106,0.815068493150685,0.10535635236830455,146.0
T cells,0.4587546567323044,0.46034712950600803,0.45954951352792217,3745.0
Treg,0.0,0.0,0.0,775.0
ungated,0.1905874243700697,0.7724662424336489,0.30574070092453237,6443.0
accuracy,0.5184296876149557,0.5184296876149557,0.5184296876149557,0.5184296876149557
macro avg,0.4423420209542835,0.48132695135727704,0.3488180763056387,67961.0
weighted avg,0.7894252875457309,0.5184296876149557,0.5561927971053833,67961.0
